"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2401","@QA Page Playwright test","","2026-01-18","passed","2026-01-18","","Tag.spec.js","",""
"","7942","@QA Browser Context Playwright test","","2026-01-18","failed","2026-01-18","","Tag.spec.js","",""
